file_name,file_size,product_no,status,letter,environment,image_w,image_h,product_no_len,image_type,data_type,file_path
3Q1ZM_h_c.jpg,7102,3Q1ZM,Horizontal,Clear,Clear,251,92,5,syns,train,train/3Q1ZM_h_c.jpg
VJP#F_h_c.jpg,6119,VJP#F,Horizontal,Clear,Clear,203,92,5,syns,train,train/VJP#F_h_c.jpg
5J46N_h_c.jpg,4772,5J46N,Horizontal,Clear,Clear,166,92,5,syns,train,train/5J46N_h_c.jpg
V5B9E_h_c.jpg,6656,V5B9E,Horizontal,Clear,Clear,256,92,5,syns,train,train/V5B9E_h_c.jpg
AYFD3_h_c.jpg,6403,AYFD3,Horizontal,Clear,Clear,251,92,5,syns,train,train/AYFD3_h_c.jpg
D7STW_h_c.jpg,7536,D7STW,Horizontal,Clear,Clear,267,92,5,syns,train,train/D7STW_h_c.jpg
4BFSH_h_c.jpg,7781,4BFSH,Horizontal,Clear,Clear,294,92,5,syns,train,train/4BFSH_h_c.jpg
Y5INT_h_c.jpg,6269,Y5INT,Horizontal,Clear,Clear,233,92,5,syns,train,train/Y5INT_h_c.jpg
IZD1X_h_c.jpg,6388,IZD1X,Horizontal,Clear,Clear,239,92,5,syns,train,train/IZD1X_h_c.jpg
SI0QT_h_c.jpg,5971,SI0QT,Horizontal,Clear,Clear,211,92,5,syns,train,train/SI0QT_h_c.jpg
 2WVE_h_c.jpg,7120, 2WVE,Horizontal,Clear,Clear,299,92,5,syns,train,train/ 2WVE_h_c.jpg
LNCPP_h_c.jpg,8019,LNCPP,Horizontal,Clear,Clear,288,92,5,syns,train,train/LNCPP_h_c.jpg
U4ERD_h_c.jpg,6994,U4ERD,Horizontal,Clear,Clear,260,92,5,syns,train,train/U4ERD_h_c.jpg
ZRWLE_h_c.jpg,8127,ZRWLE,Horizontal,Clear,Clear,317,92,5,syns,train,train/ZRWLE_h_c.jpg
59FFH_h_c.jpg,6347,59FFH,Horizontal,Clear,Clear,235,92,5,syns,train,train/59FFH_h_c.jpg
RZ RO_h_c.jpg,5807,RZ RO,Horizontal,Clear,Clear,233,92,5,syns,train,train/RZ RO_h_c.jpg
XY75-_h_c.jpg,8561,XY75-,Horizontal,Clear,Clear,327,92,5,syns,train,train/XY75-_h_c.jpg
JBICM_h_c.jpg,7913,JBICM,Horizontal,Clear,Clear,268,92,5,syns,train,train/JBICM_h_c.jpg
X9DQG_h_c.jpg,9403,X9DQG,Horizontal,Clear,Clear,341,92,5,syns,train,train/X9DQG_h_c.jpg
6IV7I_h_c.jpg,5071,6IV7I,Horizontal,Clear,Clear,183,92,5,syns,train,train/6IV7I_h_c.jpg
-1EB37_h_c.jpg,6299,-1EB37,Horizontal,Clear,Clear,234,92,6,syns,train,train/-1EB37_h_c.jpg
D19CD _h_c.jpg,7973,D19CD ,Horizontal,Clear,Clear,305,92,6,syns,train,train/D19CD _h_c.jpg
GGSB2#_h_c.jpg,9786,GGSB2#,Horizontal,Clear,Clear,335,92,6,syns,train,train/GGSB2#_h_c.jpg
