filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
KakaoTalk_20211206_140911955.jpg,5901,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[51,214,215,45],""all_points_y"":[11,14,68,64]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true},""product_no"":""S80783"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_01.jpg,3056,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[9,109,111,6],""all_points_y"":[14,14,44,45]}","{""product_no"":""S80783"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_02.jpg,6515,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[48,328,329,44],""all_points_y"":[38,45,106,101]}","{""product_no"":""M9160C"",""status"":""Horizontal"",""letter"":""Blur"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_03.jpg,4064,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[35,167,168,35],""all_points_y"":[24,22,48,50]}","{""product_no"":""M9160C"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_04.jpg,8354,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[40,253,254,36],""all_points_y"":[54,55,98,94]}","{""product_no"":""M9160C"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_05.jpg,2273,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[38,126,127,37],""all_points_y"":[17,17,38,41]}","{""product_no"":""B37846"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_06.jpg,3064,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[25,173,174,25],""all_points_y"":[13,8,32,36]}","{""product_no"":""73-B7637"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_07.jpg,3087,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""polygon"",""all_points_x"":[2,113,117,5],""all_points_y"":[17,9,31,41]}","{""product_no"":""LHE0401"",""status"":""Horizontal"",""letter"":""Clear"",""environment"":""Clear""}"
KakaoTalk_20211206_140911955_07.jpg,3087,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""polygon"",""all_points_x"":[5,120,120,6],""all_points_y"":[45,39,47,47]}","{""product_no"":""###"",""status"":"""",""letter"":"""",""environment"":""""}"
KakaoTalk_20211206_140911955_07.jpg,3087,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""polygon"",""all_points_x"":[2,115,115,2],""all_points_y"":[2,1,5,12]}","{""product_no"":""###"",""status"":"""",""letter"":"""",""environment"":""""}"
